en,hi
Hello,नमस्ते
Good morning,सुप्रभात
Good evening,शुभ संध्या
How are you?,आप कैसे हैं?
I am fine.,मैं ठीक हूँ।
Thank you,धन्यवाद
Please,कृपया
Yes,हाँ
No,नहीं
What is your name?,आपका नाम क्या है?
My name is John.,मेरा नाम जॉन है।
Where are you from?,आप कहाँ से हैं?
I am from India.,मैं भारत से हूँ।
I love learning languages.,मुझे भाषाएँ सीखना पसंद है।
This is a book.,यह एक किताब है।
That is my friend.,वह मेरा दोस्त है।
See you tomorrow.,कल मिलते हैं।
Good night,शुभ रात्रि
Welcome,स्वागत है
Excuse me,माफ़ कीजिए
I don't understand.,मुझे समझ नहीं आया।
Can you help me?,क्या आप मेरी मदद कर सकते हैं?
Where is the station?,स्टेशन कहाँ है?
How much is this?,यह कितने का है?
I would like some water.,मुझे थोड़ा पानी चाहिए।
I am hungry.,मुझे भूख लगी है।
I am thirsty.,मुझे प्यास लगी है।
What time is it?,समय क्या हुआ है?
See you soon.,जल्द मिलते हैं।
Have a nice day!,आपका दिन शुभ हो!
Happy birthday!,जन्मदिन मुबारक हो!
Congratulations!,बधाई हो!
Best wishes,शुभकामनाएँ
I am sorry.,मुझे खेद है।
Where do you live?,आप कहाँ रहते हैं?
I live in Delhi.,मैं दिल्ली में रहता/रहती हूँ।
Do you speak English?,क्या आप अंग्रेज़ी बोलते हैं?
I speak a little Hindi.,मैं थोड़ी हिंदी बोलता/बोलती हूँ।
What's your phone number?,आपका फोन नंबर क्या है?
See you later.,फिर मिलेंगे।

